Year,5th,25th,50th,75th,95th,Mean
0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
0.08333333333333333,96983.43553568852,99894.10734527861,101672.14817217703,103398.46587019073,107093.12430001896,101743.37120848011
0.16666666666666666,96494.21795280151,100610.12926564435,103251.52075838947,105981.42771591924,110899.14388237981,103480.82497109496
0.25,96406.71643751112,101259.66271928063,104849.48115119929,108857.65343621804,114852.31173115784,105100.03247127516
0.3333333333333333,95663.03585455981,102443.13701322999,106418.40044404614,111421.98847970438,117773.93039028169,106863.71106986306
0.4166666666666667,96930.96607978613,103130.35660414366,108335.42120224395,113679.07728670252,121885.66028786759,108659.4611700632
0.5,97201.52223586068,104398.8258507323,110516.47828609622,116151.70868627478,125075.83683034926,110569.77597341276
0.5833333333333334,97701.96646830103,105655.40722166048,111646.95142537581,118837.36589999057,128097.42149823374,112442.21247468205
0.6666666666666666,98572.34697906472,106824.04760647443,113847.86252045026,120223.27530074623,130252.85426420034,114143.20940500198
0.75,98830.50527736133,108239.5726072842,115358.19622352987,122813.37616914664,133493.15278396776,115950.2746941252
0.8333333333333334,99408.93458201416,109874.52200924602,117603.82227441922,125434.61269411056,136683.5436643657,117852.5072423712
0.9166666666666666,100936.3517450842,111540.64228763196,119061.00600287408,127886.20810109418,140688.35077149043,119717.30227576203
1.0,100745.16842062325,112774.22798448455,120953.57540946724,129793.95313718078,142117.05494284802,121508.74490038621
1.0833333333333333,102210.19618804839,113644.25498160676,122542.16311783827,131743.88966144045,146317.68712845002,123240.08873464714
1.1666666666666667,103155.30024232199,114924.92313469911,124503.89717005134,134184.4673777927,148559.43781863514,124903.8484764825
1.25,104580.54219111879,116122.3734382252,126861.1219716896,136403.76470172906,151765.88563121879,126981.09184405314
1.3333333333333333,105483.55258354977,118022.6949985127,128478.74113586094,139470.8069844017,155218.10560083808,129003.63117559817
1.4166666666666667,106881.83061460881,119444.14263982775,129849.81601189601,142237.41839785763,157409.28037879968,130801.42494164244
1.5,106139.45631599856,120719.37655216912,131310.57280099782,144953.0952690672,160985.68471218838,132606.99231651233
1.5833333333333333,106353.89072966673,121883.56291515313,133620.71969395474,147171.42153446053,165191.0448286489,134759.76801405914
1.6666666666666667,108212.07525389885,123445.36086664324,136363.87707749446,148533.17274638574,165734.23430006602,136665.07907725958
1.75,107824.13734589778,125324.16029487007,138209.86772277148,151804.56131931808,170701.65467011632,138620.20485891297
1.8333333333333333,109518.09197954071,125472.53324267351,139949.10465608307,153995.3406242901,172584.08966991687,140402.3752568495
1.9166666666666667,111932.77423405298,127610.81269984198,142691.78511130583,155065.58737253703,175173.31886876092,142368.4539182136
2.0,111736.51903744615,129381.87202802666,144468.82376478324,158304.79098254093,178744.20970405627,144622.94835021786
2.0833333333333335,113309.14469830607,130397.02928142034,147083.63700028707,160789.68267480886,183205.30391971575,146606.30351388565
2.1666666666666665,113852.65741814215,132046.98711783806,147979.7431168597,162792.69990568527,187258.58478071645,148507.16317693572
